id|titolo|autore|anno|synopsis|collocazione
122|"Palazzo Sogliano"|"Sveva, Casati Modignani"|2013|"Palazzo Sogliano è il simbolo di una famiglia nobile e potente, ma anche il custode di segreti e misteri. La giovane Orsola, ultima erede della dinastia, si trova a dover gestire un'eredità difficile e a fare i conti con un passato ingombrante. Un romanzo che intreccia storia, amore e mistero, e che ci trasporta in un mondo di antiche tradizioni e nuove sfide. Una saga familiare avvincente, che ci mostra il coraggio di una donna determinata a salvare il suo futuro e quello della sua famiglia."|NARRATIVA SVE
123|"Un battito d'ali"|"Sveva, Casati Modignani"|2017|"La storia di due sorelle, diverse come il giorno e la notte, che si ritrovano a condividere un'eredità inaspettata. Un viaggio che le porterà a riscoprire il loro legame e a fare i conti con il passato. Un romanzo che parla di famiglia, di perdono e della forza dei legami di sangue. Con la sua consueta sensibilità, l'autrice ci regala una storia emozionante e piena di speranza, che ci ricorda come, a volte, basti un battito d'ali per cambiare il corso della propria vita."|NARRATIVA SVE
124|"Festa di famiglia"|"Sveva, Casati Modignani"|2018|"Una grande festa di famiglia è l'occasione per riunire parenti vicini e lontani. Ma è anche il momento in cui vecchi rancori, segreti e tensioni vengono a galla. Un romanzo corale che, attraverso le storie dei vari personaggi, ci offre un ritratto ironico e affettuoso della famiglia italiana. Una commedia umana piena di colpi di scena, dialoghi brillanti e sentimenti universali, in cui ogni lettore potrà riconoscere un pezzo della propria vita."|NARRATIVA SVE
125|Suite 405|"Sveva, Casati Modignani"|2015|"La suite 405 di un grande albergo milanese è il luogo dove si intrecciano i destini di diversi personaggi. Un uomo d'affari, una giornalista, una coppia in crisi, un'attrice famosa: le loro storie si sfiorano e si incrociano, in un gioco di specchi che riflette le luci e le ombre della società contemporanea. Un romanzo originale e avvincente, che ci mostra come le vite degli altri possano, a volte, influenzare la nostra in modi inaspettati."|NARRATIVA SVE
126|"La vigna di Angelica"|"Sveva, Casati Modignani"|2014|"Angelica è una giovane donna che decide di lasciare la città per tornare a vivere in campagna e gestire la vigna di famiglia. Una scelta coraggiosa, che la porterà a riscoprire le sue radici e a trovare l'amore. Un romanzo che celebra la bellezza della natura, il valore delle tradizioni e il coraggio di seguire le proprie passioni. Una storia piena di sole, di profumi e di sapori, che ci fa sognare una vita più semplice e autentica."|NARRATIVA SVE
127|"Il coraggio di una donna"|"Steel, Danielle"|2023|"Una giovane donna, durante la Seconda Guerra Mondiale, si unisce alla Resistenza e combatte per la libertà. Una storia di coraggio, di amore e di sacrificio, che ci mostra la forza straordinaria delle donne di fronte alle avversità. Danielle Steel ci regala un romanzo storico avvincente e commovente, che rende omaggio a tutte le eroine sconosciute che hanno lottato per un mondo migliore."|NARRATIVA STE
128|La duchessa|"Steel, Danielle"|2022|"Una giovane aristocratica inglese, dopo aver perso tutto, è costretta a reinventarsi e a lottare per la sua indipendenza. Un romanzo che ci trasporta nell'Inghilterra di inizio Novecento, tra balli sfarzosi e rigide convenzioni sociali. La storia di una donna moderna e coraggiosa, che non si arrende di fronte alle difficoltà e che cerca la sua strada nel mondo. Un'altra grande protagonista femminile creata dalla penna di Danielle Steel."|NARRATIVA STE
129|"Ritratto di famiglia"|"Steel, Danielle"|2021|"Una famiglia apparentemente perfetta viene sconvolta da una tragedia. I legami si spezzano, i segreti vengono a galla e ognuno deve fare i conti con il proprio dolore. Un romanzo che esplora le complesse dinamiche familiari, il peso del passato e la forza del perdono. Danielle Steel ci offre un ritratto intenso e realistico di una famiglia in crisi, e ci mostra come, anche nei momenti più bui, sia possibile trovare la strada per la riconciliazione."|NARRATIVA STE
130|"La forza del cuore"|"Steel, Danielle"|2021|"Una donna, dopo aver subito un grave trauma, deve trovare la forza di ricominciare a vivere. Un percorso difficile, fatto di paure, di insicurezze, ma anche di speranza e di nuovi incontri. Un romanzo che parla di resilienza, di amore e della capacità umana di superare le prove più dure. Con la sua consueta sensibilità, Danielle Steel ci regala una storia toccante e piena di ottimismo, che ci ricorda come la forza del cuore possa vincere ogni ostacolo."|NARRATIVA STE
131|"Luci del sud"|"Steel, Danielle"|2020|"Una giovane avvocatessa di New York si trasferisce in una piccola città del sud per seguire un caso pro bono. L'impatto con una realtà così diversa dalla sua è forte, ma a poco a poco impara ad apprezzare la gente, i luoghi e le tradizioni. E forse, proprio lì, troverà l'amore. Un romanzo che contrappone il ritmo frenetico della metropoli alla quiete della provincia, e che ci parla di seconde occasioni e della possibilità di trovare la felicità dove meno ce lo aspettiamo."|NARRATIVA STE
132|"Una bruttissima settimana"|"Steel, Danielle"|2020|"Sette giorni possono cambiare una vita. È quello che succede alla protagonista di questo romanzo, che in una sola settimana vede il suo mondo crollare: perde il lavoro, il marito la lascia e scopre un terribile segreto. Ma è proprio dal fondo che si può trovare la forza per risalire. Una storia di rinascita e di empowerment femminile, che ci insegna a non arrenderci mai e a trasformare le difficoltà in opportunità."|NARRATIVA STE
133|"Il momento magico"|"Steel, Danielle"|2019|"Una stilista di moda di successo, abituata a una vita glamour e frenetica, decide di prendersi una pausa e di ritirarsi in campagna. Lì, riscopre il piacere delle piccole cose, la bellezza della natura e, forse, anche l'amore. Un romanzo che ci invita a rallentare, a riflettere sulle nostre priorità e a cercare il nostro ""momento magico"". Una storia romantica e sognante, che ci fa desiderare di fuggire dalla città e di trovare un po' di pace."|NARRATIVA STE
134|La scelta|"Steel, Danielle"|2019|"Due donne, due vite, una scelta che cambierà tutto. Una storia di amicizia, di amore e di destini incrociati. Le protagoniste, pur venendo da mondi diversi, si trovano ad affrontare dilemmi simili e a prendere decisioni difficili. Un romanzo che esplora la complessità dei rapporti umani e che ci mette di fronte a una domanda fondamentale: cosa siamo disposti a sacrificare per la felicità? Un'altra prova della grande capacità di Danielle Steel di raccontare i sentimenti."|NARRATIVA STE
135|"In Tante piccole cose"|"Clare, Mackintosh"|2023|"Una coppia si trasferisce in una piccola cittadina sulla costa per ricominciare, ma il loro sogno si trasforma in un incubo quando iniziano a ricevere minacce anonime. La paranoia cresce, i segreti emergono e la fiducia reciproca viene messa a dura prova. Un thriller psicologico ad alta tensione, che gioca con le paure più profonde del lettore e che lo tiene incollato alla pagina fino all'imprevedibile finale. Clare Mackintosh si conferma una maestra del suspense."|GIALLI MAC
136|"La lista degli ospiti"|"Foley, Lucy"|2021|"Un matrimonio sfarzoso su un'isola al largo delle coste irlandesi. Gli invitati sono eleganti, il cibo è squisito, ma l'atmosfera è carica di tensione. Vecchi rancori, invidie e segreti vengono a galla, e la festa si trasforma in una tragedia quando viene scoperto un cadavere. Chi è la vittima? E chi è l'assassino? Un giallo in stile Agatha Christie, con una trama ingegnosa e un cast di personaggi memorabili. Tutti hanno un motivo per uccidere, e il lettore dovrà scoprire quale."|GIALLI FOL
137|Il manoscritto|"Franck, Thilliez"|2019|"Un manoscritto incompiuto, trovato sulla scena di un crimine, diventa la chiave per risolvere una serie di omicidi. Un thriller mozzafiato, che si snoda su più piani temporali e che gioca con la percezione del lettore. La narrazione è un labirinto di specchi, dove realtà e finzione si confondono, e dove nulla è come sembra. Franck Thilliez costruisce un meccanismo a orologeria perfetto, che sorprende e spiazza fino all'ultima riga."|GIALLI THI
138|"Un caso complicato per l'ispettore Turner"|"Styles, L. T."|2023|"L'ispettore Turner, un uomo metodico e un po' all'antica, si trova di fronte a un caso che mette alla prova le sue certezze. L'omicidio di un ricco collezionista d'arte lo porta in un mondo di falsari, ladri e personaggi eccentrici. Un giallo classico, con un'atmosfera british e un protagonista indimenticabile. L. T. Styles rende omaggio alla tradizione del poliziesco, ma con un tocco di originalità e di ironia che lo rendono irresistibile."|GIALLI STY
139|"La sorte del regno"|"Varesi, Valerio"|2023|"Il commissario Soneri torna a indagare nella sua Parma, questa volta alle prese con un delitto che affonda le radici nella storia e nella politica. La morte di un anziano partigiano apre uno squarcio su un passato fatto di ideali, tradimenti e segreti mai svelati. Varesi, con la sua scrittura evocativa e la sua profonda conoscenza della provincia italiana, ci regala un romanzo che è insieme un giallo avvincente e una riflessione amara sul nostro paese."|GIALLI VAR
140|"Il caso della domestica infedele"|"Varesi, Valerio"|2023|"Una domestica scompare nel nulla, lasciando dietro di sé una scia di domande e di sospetti. Il commissario Soneri, chiamato a indagare, si trova a scavare nella vita di una donna apparentemente invisibile, e scopre un mondo di umiliazioni, ricatti e sogni infranti. Un giallo sociale, che dà voce agli ultimi e che denuncia le ipocrisie della borghesia di provincia. Valerio Varesi si conferma uno dei migliori interpreti del noir italiano."|GIALLI VAR
141|"Reo confesso"|"Varesi, Valerio"|2021|"Un uomo si presenta in commissariato e confessa un omicidio. Ma il commissario Soneri non è convinto. Troppe cose non tornano, troppe contraddizioni. Inizia così un'indagine al contrario, in cui non si cerca il colpevole, ma si cerca di capire se il reo confesso lo sia veramente. Un romanzo psicologico, che esplora i meandri della mente umana e il confine labile tra verità e menzogna. Un Soneri più riflessivo e malinconico, che si interroga sul senso della giustizia."|GIALLI VAR
142|"La mossa del matto"|"Varesi, Valerio"|2020|"Un vecchio scacchista viene trovato morto nel suo appartamento. Sembra un incidente, ma il commissario Soneri fiuta qualcosa di strano. L'indagine lo porta nel mondo silenzioso e cerebrale degli scacchi, dove ogni mossa può essere fatale. Un giallo intellettuale, che è anche una metafora della vita e della lotta tra il bene e il male. Varesi costruisce una trama complessa e affascinante, come una partita a scacchi giocata fino all'ultima mossa."|GIALLI VAR
143|Gli invisibili|"Varesi, Valerio"|2019|"Chi sono gli invisibili? Sono i senzatetto, i migranti, i disperati che vivono ai margini della società. E sono proprio loro le vittime di una serie di omicidi che sconvolgono Parma. Il commissario Soneri si trova a indagare in un mondo di povertà e di emarginazione, e a dare un volto e una storia a chi non ne ha più. Un romanzo potente e necessario, che ci costringe a guardare in faccia una realtà che spesso preferiamo ignorare."|GIALLI VAR
144|"L'ora più buia"|"Connelly, Michael"|2023|"Harry Bosch e Renée Ballard tornano a lavorare insieme su un caso che li porterà a scavare nel passato. La morte di un uomo, apparentemente per cause naturali, nasconde in realtà un segreto terribile. Un'indagine che si snoda tra presente e passato, e che costringerà i due detective a fare i conti con i loro demoni. Michael Connelly si conferma il maestro del police procedural, con una trama impeccabile e due personaggi indimenticabili."|GIALLI CON
145|"La stella del deserto"|"Connelly, Michael"|2022|"Harry Bosch, ormai in pensione, collabora come volontario con la polizia di San Fernando. Quando il corpo di una donna viene trovato nel deserto, Bosch si unisce all'indagine, guidata dalla giovane e ambiziosa detective Renée Ballard. Insieme, cercheranno di dare un nome alla vittima e di trovare il suo assassino. Un romanzo che unisce la vecchia e la nuova scuola, e che ci mostra un Bosch più maturo, ma sempre animato da un'incrollabile sete di giustizia."|GIALLI CON
146|"La legge dell'innocenza"|"Connelly, Michael"|2021|"L'avvocato Mickey Haller, ""l'avvocato della Lincoln"", viene arrestato per un omicidio che non ha commesso. Dal carcere, deve difendere se stesso e dimostrare la sua innocenza. Un legal thriller mozzafiato, che ci porta dentro le aule di tribunale e che ci mostra il funzionamento del sistema giudiziario americano. Connelly costruisce un meccanismo perfetto, pieno di colpi di scena e di suspense, che terrà il lettore con il fiato sospeso fino all'ultima pagina."|GIALLI CON
147|"La fiamma nel buio"|"Connelly, Michael"|2020|"Harry Bosch, come volontario nell'unità irrisolti, si occupa di un vecchio caso: l'omicidio di un giovane, avvenuto durante le rivolte di Los Angeles del 1992. Insieme a Renée Ballard, Bosch cerca di far luce su un delitto dimenticato, e si trova a fare i conti con una città ancora ferita e divisa. Un romanzo che unisce l'indagine poliziesca alla riflessione sociale, e che ci mostra un Bosch sempre in prima linea per dare voce alle vittime."|GIALLI CON
148|"La notte più lunga"|"Connelly, Michael"|2019|"Renée Ballard è una giovane detective che lavora nel turno di notte, ""il late show"". Durante una notte di Capodanno, si trova a gestire diversi casi, tra cui un omicidio che la coinvolgerà personalmente. Un romanzo che ci mostra il lato oscuro di Los Angeles, e che ci presenta una nuova, straordinaria protagonista femminile. Renée Ballard è tosta, intelligente e determinata, e non ha nulla da invidiare al suo collega Harry Bosch."|GIALLI CON
149|"La morte è il mio mestiere"|"Connelly, Michael"|2018|"Jack McEvoy, il giornalista specializzato in serial killer, torna in azione. Questa volta, si trova a indagare su un assassino che usa la genetica per scegliere le sue vittime. Un thriller scientifico, che unisce l'indagine giornalistica alle più recenti scoperte nel campo del DNA. Connelly ci regala una storia avvincente e documentata, che ci fa riflettere sui pericoli e sulle potenzialità della scienza."|GIALLI CON
150|"Il dio della colpa"|"Connelly, Michael"|2014|"Mickey Haller, l'avvocato della Lincoln, deve difendere un uomo accusato di aver ucciso una sua ex cliente. Un caso che lo porterà a scavare nel suo passato e a fare i conti con i suoi errori. Un legal thriller che è anche un romanzo sulla colpa, sul perdono e sulla possibilità di redenzione. Connelly si muove con maestria tra le aule di tribunale e i meandri dell'animo umano, regalandoci un altro capitolo indimenticabile della saga di Mickey Haller."|GIALLI CON
151|"La scatola nera"|"Connelly, Michael"|2013|"Harry Bosch, nell'unità irrisolti, riapre il caso dell'omicidio di una fotoreporter danese, avvenuto durante le rivolte di Los Angeles del 1992. La scoperta di un proiettile, la ""scatola nera"" del delitto, gli permette di ricostruire gli ultimi giorni della vittima e di avvicinarsi alla verità. Un'indagine complessa e affascinante, che ci riporta a uno dei momenti più bui della storia di Los Angeles."|GIALLI CON
152|"Il quinto testimone"|"Connelly, Michael"|2012|"Mickey Haller difende una donna accusata di aver ucciso il banchiere che le stava pignorando la casa. Un caso che lo porta nel cuore della crisi finanziaria, tra mutui subprime e speculazioni immobiliari. Un legal thriller avvincente e attuale, che denuncia le ingiustizie del sistema e che ci mostra un Haller combattivo e determinato a difendere i più deboli. ""Il quinto testimone"" è la Costituzione, e Haller la invocherà fino all'ultimo."|GIALLI CON
153|"Il respiro del drago"|"Connelly, Michael"|2003|"Harry Bosch indaga sull'omicidio di un negoziante cinese, avvenuto durante una rapina. Un caso che lo porterà nel cuore di Chinatown e che lo metterà di fronte alla mafia cinese, la Triade. Un'indagine pericolosa, in cui Bosch dovrà muoversi con cautela e diffidare di tutti. ""Il respiro del drago"" è un romanzo teso e avvincente, che ci mostra un altro lato di Los Angeles e delle sue complesse dinamiche criminali."|GIALLI CON
154|"Il buio oltre la notte"|"Connelly, Michael"|2002|"In questo romanzo, Michael Connelly fa incontrare i suoi due personaggi più famosi: il detective Harry Bosch e l'ex profiler dell'FBI Terry McCaleb. Insieme, indagano su un caso che sembra collegare due omicidi avvenuti a distanza di anni. Un thriller mozzafiato, che unisce due stili investigativi diversi e che ci regala un duetto indimenticabile. Un'occasione unica per vedere all'opera due giganti del crime fiction."|GIALLI CON
155|"Vuoto di luna"|"Connelly, Michael"|2001|"Cassie Black è una ladra professionista, specializzata in casinò. Dopo essere uscita di prigione, cerca di rigare dritto, ma il passato torna a cercarla. Viene costretta a fare un ultimo colpo, un colpo che la metterà in grave pericolo. Un romanzo che ci porta nel mondo scintillante e spietato di Las Vegas, e che ci presenta una protagonista femminile forte e complessa. ""Vuoto di luna"" è un heist movie su carta, pieno di suspense e di colpi di scena."|GIALLI CON
156|"Musica dura"|"Connelly, Michael"|2000|"Harry Bosch, sospeso dal servizio, indaga privatamente sulla scomparsa di un'amica della sua ex moglie. L'indagine lo porta a Las Vegas, nel mondo oscuro dei film per adulti e della criminalità organizzata. Un Bosch più solitario e tormentato, che si muove ai margini della legge per cercare la verità. ""Musica dura"" è un noir classico, con un'atmosfera cupa e un protagonista indimenticabile."|GIALLI CON
157|"Ghiaccio nero"|"Connelly, Michael"|1997|"Un poliziotto del dipartimento narcotici viene trovato morto in un motel. Sembra un suicidio, ma Harry Bosch non ci crede. L'indagine lo porta a sud del confine, in Messico, sulle tracce di una nuova, micidiale droga chiamata ""ghiaccio nero"". Un romanzo che unisce l'indagine poliziesca al tema del traffico di droga, e che ci mostra un Bosch determinato a scoprire la verità, anche a costo di scontrarsi con i suoi superiori e con la corruzione all'interno della polizia."|GIALLI CON
158|"La bionda di cemento"|"Connelly, Michael"|1998|"Harry Bosch viene citato in giudizio dalla famiglia di un presunto serial killer che lui stesso aveva ucciso anni prima. Mentre si difende in tribunale, un nuovo omicidio, con lo stesso modus operandi, fa pensare che l'uomo che ha ucciso fosse innocente. Bosch deve quindi dimostrare la sua innocenza e, allo stesso tempo, dare la caccia al vero assassino. Un romanzo che unisce il legal thriller al police procedural, con una trama complessa e avvincente."|GIALLI CON
159|"L'ombra del coyote"|"Connelly, Michael"|1999|"Harry Bosch, sospeso dal servizio dopo aver aggredito un suo superiore, decide di riaprire un vecchio caso irrisolto: l'omicidio di sua madre, avvenuto trent'anni prima. Un'indagine personale e dolorosa, che lo porterà a scavare nel suo passato e a scoprire verità sconvolgenti. ""L'ombra del coyote"" è uno dei romanzi più intimi e toccanti della serie, e ci svela il lato più fragile e umano del detective Bosch."|GIALLI CON
160|"Debito di sangue"|"Connelly, Michael"|1999|"Terry McCaleb, ex profiler dell'FBI, ha subito un trapianto di cuore. Quando scopre che il suo donatore è stato ucciso, decide di usare le sue ultime energie per trovare l'assassino. Un'indagine contro il tempo, in cui McCaleb deve onorare il suo ""debito di sangue"". Un thriller mozzafiato, che ha ispirato l'omonimo film diretto e interpretato da Clint Eastwood."|GIALLI CON
161|Il poeta|"Connelly, Michael"|1998|"Jack McEvoy è un giornalista di cronaca nera. Quando suo fratello, un detective della omicidi, viene trovato morto, Jack inizia a indagare e scopre una scia di suicidi di poliziotti che nascondono in realtà l'opera di un serial killer spietato e geniale, che lascia come firma versi di Edgar Allan Poe. Un thriller che ha rivoluzionato il genere e che ha consacrato Michael Connelly come uno dei più grandi maestri del crime fiction."|GIALLI CON
162|"La memoria del topo"|"Connelly, Michael"|1997|"Il primo romanzo con protagonista Harry Bosch. Il detective della omicidi di Los Angeles si trova a indagare sulla morte di un suo ex compagno del Vietnam, trovato morto in una condotta idrica. L'indagine lo porterà a scoprire un intricato piano criminale e a fare i conti con i fantasmi della guerra. Un esordio folgorante, che ha introdotto uno dei personaggi più iconici e amati della letteratura poliziesca."|GIALLI CON
163|"Il lato oscuro dell'addio"|"Connelly, Michael"|2017|"Harry Bosch, ormai detective privato, viene ingaggiato da un anziano e ricchissimo magnate per ritrovare l'unico erede che potrebbe aver avuto in gioventù. Un'indagine che lo porterà a scavare nel passato del suo cliente e a confrontarsi con segreti di famiglia e verità dolorose. Allo stesso tempo, come volontario, aiuta la polizia a dare la caccia a un violentatore seriale. Due casi, due facce della stessa medaglia: la ricerca della verità."|GIALLI CON
164|"La strategia di Bosch"|"Connelly, Michael"|2009|"Harry Bosch e Mickey Haller, fratellastri, si trovano a lavorare insieme, anche se su fronti opposti. Haller difende un uomo accusato di omicidio, e Bosch è il detective che ha condotto le indagini. Ma quando emergono nuove prove, i due devono collaborare per scoprire la verità. Un romanzo che unisce il police procedural al legal thriller, e che ci regala un duetto esplosivo tra due dei personaggi più amati di Connelly."|GIALLI CON
165|"Cerchio chiuso"|"Connelly, Michael"|2004|"Harry Bosch, tornato in servizio attivo, si trova a indagare su un vecchio caso irrisolto: l'omicidio di una ragazza, avvenuto vent'anni prima. La scoperta di nuove prove, grazie al test del DNA, gli permette di riaprire le indagini e di cercare di chiudere un cerchio lasciato aperto per troppo tempo. Un romanzo che parla di giustizia, di memoria e della tenacia di un detective che non si arrende mai."|GIALLI CON
166|"Lettera di piombo"|"Connelly, Michael"|2006|"Harry Bosch viene richiamato in servizio per indagare sull'omicidio di un medico specializzato in trattamenti con il radio. Il caso lo porterà a scoprire un mondo di interessi economici, di segreti professionali e di vendette personali. Un'indagine complessa, in cui Bosch dovrà muoversi con cautela per non rimanere ""contaminato"". ""Lettera di piombo"" è un termine del gergo giornalistico che indica una notizia che viene insabbiata, e Bosch dovrà lottare per evitare che questo accada."|GIALLI CON
167|"Il cerchio del lupo"|"Connelly, Michael"|2008|"Un fisico nucleare viene trovato morto, apparentemente avvelenato da radiazioni. Harry Bosch e il suo nuovo partner, Ignacio ""Iggy"" Ferras, si trovano a indagare in un mondo di segreti militari e di spionaggio internazionale. Un caso ad alta tensione, che metterà a dura prova il rapporto tra i due detective e che li porterà a un passo dalla morte. Un thriller mozzafiato, che conferma la maestria di Connelly nel costruire trame complesse e avvincenti."|GIALLI CON
168|Il ragno|"Connelly, Michael"|2007|"L'omicidio del figlio di un consigliere comunale mette in moto un'indagine ad alta visibilità, che viene affidata a una task force speciale. Harry Bosch, escluso dalla squadra, decide di indagare per conto suo, e scopre una pista che tutti hanno trascurato. ""Il ragno"" è un romanzo che parla di politica, di corruzione e della lotta solitaria di un uomo contro il sistema. Un Bosch più ribelle e determinato che mai."|GIALLI CON
169|La caduta|"Connelly, Michael"|2016|"Un corpo viene trovato ai piedi del Chateau Marmont, il famoso hotel di Hollywood. Sembra un suicidio, ma Harry Bosch, che lavora ai casi irrisolti, non ne è convinto. L'indagine lo porterà a scoprire una rete di corruzione all'interno della polizia di Los Angeles. Un caso che lo metterà contro i suoi stessi colleghi e che lo costringerà a rischiare tutto per la verità. Un romanzo teso e avvincente, che mostra il lato oscuro della Città degli Angeli."|GIALLI CON
170|"Il morso della reclusa"|"Vargas, Fred"|2018|"Il commissario Adamsberg si trova a indagare su una serie di morti sospette, apparentemente causate dal morso di un ragno velenoso, la reclusa. Ma Adamsberg, con il suo intuito e i suoi metodi poco ortodossi, non crede a questa versione. Un'indagine surreale e affascinante, che ci porta nel mondo delle leggende popolari e delle paure ancestrali. Fred Vargas si conferma la regina del noir francese, con la sua scrittura unica e i suoi personaggi indimenticabili."|GIALLI VAR
171|"Sulla pietra"|"Vargas, Fred"|2023|"In un piccolo villaggio della Bretagna, famoso per i suoi dolmen e i suoi menhir, un uomo viene trovato morto. Il commissario Adamsberg, in vacanza da quelle parti, viene coinvolto nell'indagine. Un caso che lo porterà a scavare nella storia e nelle leggende del luogo, e a confrontarsi con una comunità chiusa e misteriosa. Un altro capolavoro di Fred Vargas, che unisce il giallo all'antropologia, e che ci regala un'atmosfera magica e inquietante."|GIALLI VAR
172|"L'arte di essere fragili"|"D'Avenia, Alessandro"|2016|"Come può la vita di un poeta morto da duecento anni, Giacomo Leopardi, aiutarci a vivere oggi? Alessandro D'Avenia ci guida in un viaggio alla scoperta del poeta di Recanati, e ci mostra come la sua fragilità, la sua passione e la sua ricerca di infinito possano essere una fonte di ispirazione per tutti noi. Un saggio che è anche un racconto, una lettera, una confessione. Un libro che ci insegna a non avere paura delle nostre fragilità, ma a trasformarle in un punto di forza."|SAGGISTICA 158.1 DAV
173|"Resisti, cuore"|"D'Avenia, Alessandro"|2023|"Un commento al Vangelo di Giovanni, letto come una grande storia d'amore. Alessandro D'Avenia ci accompagna nella lettura dei capitoli che raccontano gli ultimi giorni di Gesù, e ci svela il significato profondo di parole come amore, amicizia, tradimento, perdono. Un libro che unisce la competenza del professore alla passione del credente, e che ci invita a resistere con il cuore alle difficoltà della vita. Un percorso spirituale e umano, che parla a credenti e non credenti."|SAGGISTA 226.506 DAV
174|"L'amore che dura"|"D'Avenia, Alessandro"|2023|"Cos'è l'amore? E come può durare nel tempo? Alessandro D'Avenia cerca di rispondere a queste domande attraverso la letteratura, la filosofia, la Bibbia e la sua esperienza personale. Un saggio che è anche un dialogo con il lettore, un invito a riflettere sulla relazione più importante della nostra vita. Con la sua scrittura chiara e appassionata, D'Avenia ci offre spunti, consigli e storie per imparare l'arte di amare."|SAGGISTICA 241.66 DAV
175|"Ogni storia è una storia d'amore"|"D'Avenia, Alessandro"|2017|"Trentasei storie di donne, muse di grandi artisti, che hanno ispirato capolavori della letteratura e dell'arte. Da Beatrice a Fanny Brawne, da Fiammetta a Gala. Alessandro D'Avenia ci racconta le loro vite, i loro amori, le loro sofferenze, e ci mostra come, dietro ogni opera d'arte, ci sia una storia d'amore. Un libro che unisce la biografia, la critica letteraria e la narrazione, e che è un omaggio alla forza creatrice dell'amore e al genio femminile."|SAGGISTICA 809 DAV
176|"L'isola di silicio"|"Huang, Chen Qiufan"|2022|"In un futuro non troppo lontano, un'isola al largo delle coste cinesi è diventata la discarica tecnologica del mondo. Qui, tra montagne di rifiuti elettronici, vivono e lavorano i ""waste people"", persone che riciclano i componenti per sopravvivere. Un romanzo di fantascienza cyberpunk, che è anche una potente allegoria del nostro presente. Chen Qiufan ci offre una visione cupa e affascinante del futuro che ci attende, e ci costringe a riflettere sul nostro rapporto con la tecnologia e con l'ambiente."|FANTASCIENZA HUA
177|"La svastica sul sole"|"Dick, Philip K."|2001|"In un mondo alternativo, le potenze dell'Asse hanno vinto la Seconda Guerra Mondiale e si sono spartite gli Stati Uniti. Un romanzo di fantascienza distopica, che esplora i temi dell'identità, della realtà e della storia. Un'opera complessa e affascinante, che ha vinto il Premio Hugo e che ha consacrato Philip K. Dick come uno dei più grandi maestri del genere."|FANTASCIENZA DIC
178|"Ma gli androidi sognano pecore elettriche?"|"Dick, Philip K."|2008|"In un futuro post-apocalittico, un cacciatore di taglie, Rick Deckard, deve ""ritirare"" un gruppo di androidi ribelli, indistinguibili dagli esseri umani. Un romanzo di fantascienza noir, che si interroga su cosa significhi essere umani. Un'opera che ha ispirato il film ""Blade Runner"" e che è un classico della letteratura cyberpunk."|FANTASCIENZA DIC
179|"Ubik, il mio universo"|"Dick, Philip K."|2008|"Joe Chip lavora per un'agenzia che protegge le aziende dallo spionaggio telepatico. Dopo un attentato, i suoi colleghi iniziano a regredire nel tempo, e l'unica speranza sembra essere un misterioso prodotto chiamato Ubik. Un romanzo psichedelico e surreale, che gioca con la percezione della realtà e che è considerato uno dei capolavori di Philip K. Dick."|FANTASCIENZA DIC
180|Neuromante|"Gibson, William"|1999|"Case è un ""cowboy della console"", un hacker che si muove nel cyberspazio. Dopo aver perso la sua abilità, viene ingaggiato per un'ultima, pericolosa missione. Il romanzo che ha inventato il genere cyberpunk, introducendo concetti come la matrice, l'intelligenza artificiale e la fusione tra uomo e macchina. Un'opera visionaria, che ha cambiato per sempre la fantascienza."|FANTASCIENZA GIB
181|"Guida galattica per gli autostoppisti"|"Adams, Douglas"|1999|"Arthur Dent, un tranquillo inglese, scopre che la Terra sta per essere demolita per fare spazio a un'autostrada galattica. Viene salvato da un suo amico, Ford Prefect, che in realtà è un alieno. Inizia così un viaggio assurdo e divertentissimo attraverso l'universo. Un romanzo di fantascienza umoristica, che è diventato un cult assoluto. Un libro che ci ricorda di non andare nel panico e di portare sempre con sé un asciugamano."|FANTASCIENZA ADA
182|Dune|"Herbert, Frank"|2004|"Sul pianeta desertico di Arrakis, l'unica fonte della preziosa ""spezia"", si scontrano le grandi casate dell'universo per il controllo del potere. Il giovane Paul Atreides si troverà al centro di un intrigo politico e religioso che cambierà il destino della galassia. Un romanzo di fantascienza epico e complesso, che unisce ecologia, politica, religione e avventura. Un'opera monumentale, considerata una delle più importanti del genere."|FANTASCIENZA HER
183|Io, robot|"Asimov, Isaac"|1963|"Una raccolta di racconti che esplorano il rapporto tra gli esseri umani e i robot positronici, governati dalle celebri Tre Leggi della Robotica. Un'opera fondamentale della fantascienza, che ha introdotto temi come l'intelligenza artificiale, l'etica e la definizione di umanità. Isaac Asimov, con la sua scrittura chiara e logica, ci regala una serie di storie affascinanti e piene di spunti di riflessione."|FANTASCIENZA ASI
184|"Fondazione"|"Asimov, Isaac"|2004|"In un lontano futuro, l'Impero Galattico è in declino. Lo scienziato Hari Seldon, grazie alla sua nuova scienza, la psicostoria, prevede un'imminente era di barbarie e crea due Fondazioni per preservare il sapere umano. Il primo volume di una saga epica, che racconta la storia della galassia su una scala di migliaia di anni. Un'opera monumentale, che ha vinto il Premio Hugo come ""miglior serie di tutti i tempi""."|FANTASCIENZA ASI
